اَنوشا 	جاویدانبرگشت به لیست
اِستاتیرا	همسر داریوش سوم
اِلِنا 	هلن و هلنا
اِلسا 	(ترکی ـ فارسی) (ال= ایل+ سا (پسوند شباهت)) مثل ایل، همانند ایل.
اِلسانا 	مثل ایل، مثل مردم ایل و شهر و ولایت، چون خویشان
اِلینا	نیکویی و نعمت برای ما
ابتسام 	تبسم، لبخندزدن
ارنواز 	نیکو سخن و خوش گفتار. نام یکی از خواهران جمشید
اروس 	سپید، درخشان و زیبا
ارون 	شاد و شادمان
اریکا	مرتبط با زمین
اسما 	عربی جمع اسم، نامها، نام دختر ابومسلم خراسانی
اسنا 	بانوی بزرگوار و بلندمرتبه
اشک 	آبی که از چشم می ریزد
اصیلا 	بانوی با اصالت
افرا	ستایش کردن
افشید	شکوه خورشید
الحان 	نواهای خوش ، نغمه های دلکش ، صدای موزون و خوش آیند
المیرا	فدا کننده
النا 	یونانی نورانی
الناز	ایل ناز موجب نازش ایل
الوا 	ستاره
الیانا 	یکی و هدیه
الیسا 	دختری که مانند گل انار لطیف است
الیکا	مادر زمین – شکوفه – نام دهی در شما ایران
الین 	هم نژاد و هم خون
امانه 	اطمینان و آرامش قلب ، دختری که وجودش مایه قوت قلب است
امیرا 	بانوی حاکم
امینه 	مؤنث امین
انار 	میوه ای خوراکی با دانه های قرمز یا سفید فراوان و مزه ترش یا شیرین
انارام 	روشنایی بی فروغ و بی پایان
انارگل 	گل انار
انگبین 	عسل
انوش 	جاویدان
انیس	عربی همدم
انیسه	عربی همدم
اوران 	در گویش سیستان
اورانوس	فرانسه نام هفتمین سیاره منظومه شمسی
اورنینا 	یونانی ربه النوع فراوانی نعمت
اورینا 	یونانی در اساطیر یونان، الهه آسمانها و حامی عشق آسمانی
ایرانا 	ایران + ا (پسوند نسبت)، منسوب به ایران، مربوط به ایران، ایرانی
ایرسا	رنگین کمان
ایلماه	یعنی ماه ایل ، ریشه ی اسم لری ، لری بختیاری
آبنوش	از زنان ویس و رامین
آپامه 	خوشرنگ و آب؛ دختر اردشیر دوم هخامنشی
آترا 	نام یکی از ماههای پاییز
آتری 	 آذر
آترین 	آذرین مانند آتش، زیبا و پر انرژی
آتشگون 	 سرخ فام، سرخ رنگ
آتنا 	در اساطیر یونان، خدای اندیشه، هنر ، دانش و صنعت
آتوسا 	نام دختر کوروش پادشاه هخامنشی و به معنی قدرت و توانمندی است.
آتیه 	آینده
آدا 	پاداش مینوی، فرشته توانگری
آدخت 	 خجسته و نیکو
آدرینا 	آتشین، سرخ رو، دختر زیبا رو، بانوی آتشین
آدنا 	نام روستایی در نزدیکی چالوس
آذر 	 آتش، فروغ، روشنایی
آذربانو 	 بانوی آتش گون
آذرچهر 	 همانند روشنایی
آذرگون 	 گل همیشه بهار
آذرمینا 	لعلگون، سرخ رنگ
آذین 	زینت، زیور، نام یکی از فرماندهان سپاه بابک خرم دین، نام پهلوانی در ویس و رامین
آذینگل 	زینت گل، زیورگل – کنایه از زیبایی بسیار زیاد
آذين	زيور، زيب، زينت، آرايش؛ (در قديم) آيين، رسم و قاعده.
آراسته 	با نظم و ترتیب
آراگل 	آراینده گل ها – زیبا کننده گل ها
آرالیا 	درختچه های زینتی
آرام 	سکون، ثبات، آسایش، طمأنینه
آرام دخت 	از نام های برگزیده
آرام دل 	از نام های برگزیده
آرامش 	آرمیدن
آرامیس 	آرامش ، راحتی
آرتادخت	وزیر خزانه داری اردوان چهارم اشکانی
آرتیستون	دختر کورش بزرگ – زن داریوش
آرزو 	(پهلوی)، خواهش، كام، مراد، چشمداشت، اميد، توقع و انتظار؛
آرشیدا 	بانوی درخشان آریایی، بانوی آراسته و درخشان
آرمیتا 	آرمان، عشق پاک
آرمیتی 	فروتنی و پاکی و محبت
آرمیدخت 	از نام های برگزیده
آرمیلا 	 اسم دختران در ایران باستان (شاهدخت)
آرميتا 	(اوستايي) پارسا، پاك، فروتن.
آریان 	بانوی بسیار مقدس – نام دختر مینوس پادشاه اساطیری یونان
آریانا 	منسوب به آریا، آریایی، نام قدیم ایران
آزادچهر 	آزاده نژاد
آزاده	 آزاد، اصيل؛ (در قديم) نجيب، شريف، صالح؛ (در قديم) ايراني؛ (اَعلام) نام زنِ…
آزیتا 	آزیتا نام دخترانه ی ایرانی ای است به معنی «الهه ی آتش»
آژند 	نام گلی است
آسا 	زیور مایه زیبایی و وقار و ثبات و تمکین و آسودگی
آساره 	نام دختر به زبان لری بختیاری به معنی
آسمان 	فضای بالای سر که آبی رنگ به نظر می رسد،
آسیمن	نامی پهلوی که همان سیمین امروزی است
آشتی 	مهر و دوستی، یکرنگی
آشنا 	یار، دوست
آشوب 	شور، انقلاب
آشیان 	لانه و کاشانه
آفتاب 	گرمی، روشنایی
آفرین 	درود و سپاس
آگرین 	کردی آتشین، به رنگ آتش
آلا 	نعمتها ، نیکی ها
آلاله 	نام گلی است
آلکا 	در گویش سمنان نام امامزاده ای
آلما 	ترکی سیب، کنایه از زیبایی
آلیس	الیس یک اسم دخترانه با ریشه فرانسوی به معنی بانوی نجیب زاده، دختر اصیل،
آلیشان	هردو ترکی شعله ور
آماندا	 این نام به معنای دوست داشتنی است.
آمتیس 	آمیتیس، نام دختر خشایار پادشاه هخامنشی
آمی‌تیس 	پادشاه ماد، نام زن کورش
آناشید 	دختر زیباروی مادر، مایه دلگرمی و روشنایی زندگی مادر
آناهيتا 	(اوستايي) بي‌آلايش، پاك، به دور از آلودگي و ناپاكي؛
آنجلا	 آنجلا شکل دخترانه نام پسر انجلوس است.
آندیا 	نام زن اردشیر ساسانی
آنسه 	مانوس، همنشین نیکو
آنیتا 	آراستگی، مهربانی، خوشرویی
آوا	ندا و صدا ،نغمه
آوین	کردی عشق
آوینا 	عشق
آهنگ 	سرود و نغمه
آهو 	غزال، غزاله؛ (به مجاز) معشوق زيبا؛ (در قديم) (به مجاز) چشم زيبا؛
آیدا 	شاد، خوش
آیسان 	آی (ترکی) + سان (فارسی) زیبا، مانند ماه
آینور	اسم ترکیبی ترکی_عربی به معنی نور ماه ، نورانی مثل ماه ، روشنایی ماه ،
آیه 	نشانه ، نشانه خدا
آيدا	(تركي) گياهي كه كنار آب مي‌رويد؛ شاد، ماه – نام تذکمنب
آيه 	(عربي) نشانه، نشان‌، معجزه، دليل، حجت، برهان؛ اعجوبه، عجيبه

بانو	خانم، کلمه احترام درباره بانوانبرگشت به لیست
بَرفین 	برفی، از جنس برف؛ سفید مانند برف؛ (به مجاز) زیبا چهره
بَصیرا 	منسوب به بصیر؛ منتسب به دانایی؛ (به مجاز) دختری که بینا و دانا باشد.
بُشرا	بشارت، مژده، مژدگانی؛ از واژه های قرآنی
بِه‌آفرین 	خوب آفریده؛ خوش سیما، خوش منظر
بِهشید 	تابناک و دارای فروغ و روشنایی
باختر 	مغرب؛  به معنی ستاره است.
بادامک 	بادام کوچک، نوعی درخت بادام
باران 	قطره‌های آب که بر اثر مایع شدن بخار آبِ موجود در جو زمین ایجاد می‌شود
بارلی 	بار(فارسی) + لی (ترکی) میوه دار، سودمند
بارنک 	نام درختی است.
باستیان 	بردبار، شکیبا
بافرین 	بآفرین، لایق تحسین و تشویق، درخور آفرین
بالنده 	آن که یا آنچه در حال رشد یا ترقی و پیشرفت است.
بالیده 	رشد و نمو کرده
بامک 	بامداد، صبح
بامی 	درخشان، لقب شهر بلخ
بامین 	نام روستایی در نزدیکی هرات
بانو گشسب 	نام دختر رستم زال ، زن گیو و مادر بیژن
باور 	مجموعه اعتقادهایی که در یک جامعه مورد پذیرش قرار گرفته است،
بخت آفرید 	آفریده بخت و اقبال
بخشایش 	  گذشت و چشم پوشی کردن گناه یا کار نادرست کسی، عفو، رأفت، رحمت و شفقت.
بخشنده 	آنکه چیزی را بی آنکه عوضی بخواهد میبخشد؛ عطا کننده.
بردبار 	شکیبا، با حوصله
برزآفرید 	آفریده با شکوه، نام مادر فرود
برسومه 	برسم، شاخه‌های گیاه
برشید 	بر(میوه) + شید (خورشید)، میوه خورشید
برفین 	برفی، از جنس برف؛ سفید مانند برف؛ (به مجاز) زیبا چهره.
برگ 	به ضم ب، ابرو
برنا 	جوان ، خوش اندام
برومند 	(اسم دختر و پسر) خوش قامت، نام مادر بابک خرمدین
برهون 	هاله، خرمن ماه
بلوت 	درخت سودبخش
بلوط 	گیاهی درختی و جنگلی که میوه آن خوراکی است.
بمانی 	نامی که با آن طول عمر کودک را بخواهند.
بنفشه 	نام گل، (به مجاز) مو، زلف؛
بنیتا	دختر بی همتای من
بوته 	گیاه، ساقه جوان
بوختار 	از نام های برگزیده
بوژنه 	شکوفه، غنچه اسم دختر
بوستان 	بستان، باغ و گلزار
بویه 	آرزو
به آفرید 	نام دختر کی گشتاسب
به نگار 	خوب چهره، نیکو صورت
بهار 	فصل اول سال
بهارا ، بهار، بهاران 	فصل بهار
